Distrito,CABECERA DEL DISTRITO,MUNICIPIOS,SECCIÓN,TOTAL PADRÓN,TOTAL LISTA NOMINAL,CP,ENCUESTAS_ASIGNADAS
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,41,1847,1841,39550.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,262,2615,2603,,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,226,1469,1463,39610.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,97,966,957,,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,214,1208,1200,39569.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,30,1707,1700,39540.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,290,843,839,39810.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,173,1501,1491,39770.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,185,1702,1693,39715.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,357,1179,1177,39897.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,66,823,820,39580.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,321,326,324,39920.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,304,3145,3118,,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,299,1556,1542,,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,83,612,608,39300.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,26,1171,1164,39530.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,230,1687,1676,39610.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,79,616,614,,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,209,1470,1465,39799.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,232,1525,1515,39530.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,130,1777,1766,39700.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,114,5835,5806,39904.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,149,1965,1959,39700.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,28,1279,1276,39550.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,281,1484,1472,39800.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,335,1566,1541,39920.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,212,1989,1979,39780.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,246,1521,1514,39799.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,359,993,992,39665.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,320,1445,1432,39910.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,207,1772,1764,39715.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,38,1717,1712,39530.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,380,1653,1644,39930.0,10
Distrito 8,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,7,1173,1165,39412.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,263,1602,1593,,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,95,471,470,,10
