Distrito,CABECERA DEL DISTRITO,MUNICIPIOS,SECCIÓN,TOTAL PADRÓN,TOTAL LISTA NOMINAL,CP
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,218,1019,1014,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,288,1010,1001,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,241,984,980,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,60,980,975,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,240,976,970,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,40,965,963,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,97,966,957,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,269,945,936,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,81,901,898,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,275,901,898,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,77,902,896,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,271,902,896,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,253,877,871,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,260,873,869,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,237,852,850,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,249,840,835,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,250,839,834,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,258,818,813,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,248,814,812,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,238,798,794,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,242,788,783,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,59,756,751,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,63,682,680,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,76,662,662,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,79,616,614,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,84,495,490,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,62,485,481,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,95,471,470,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,58,461,458,
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,78,218,217,
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,31,3801,3783,39422
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,31,3801,3783,39460
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,31,3801,3783,39540
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,31,3801,3782,39460
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,19,2645,2637,39422
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,19,2645,2537,39422
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,193,2133,2119,39510
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,39,1847,1841,39560
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,41,1847,1841,39550
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,41,1847,1841,39530
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,41,1847,1841,39560
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,27,1780,1777,39550
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,27,1780,1777,39530
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,27,1780,1777,39528
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,38,1717,1712,39530
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,30,1707,1700,39540
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,33,1705,1693,39540
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,33,1705,1693,39460
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,29,1643,1636,39540
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,106,1650,1636,39390
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,48,1640,1631,39460
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,23,1608,1599,39530
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,36,1558,1551,39550
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,105,1521,1517,39390
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,232,1525,1515,39530
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,50,1480,1467,39460
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,50,1480,1467,39480
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,50,1480,1467,39470
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,104,1442,1434,39390
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,104,1422,1434,39390
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,18,1441,1432,39422
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,107,1420,1417,39390
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,42,1425,1415,39550
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,42,1425,1415,39560
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,231,1408,1398,39530
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,100,1400,1393,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,194,1323,1313,39510
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,53,1297,1287,39580
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,28,1279,1276,39550
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,49,1279,1275,39460
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,49,1279,1275,39422
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,108,1258,1253,39390
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,21,1240,1230,39528
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,22,1240,1230,39530
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,37,1237,1230,39550
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,37,1237,1230,39530
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,102,1218,1212,39390
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,102,1218,1212,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,54,1212,1201,39580
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,109,1196,1192,39390
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,51,1177,1169,39460
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,51,1177,1169,39470
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,26,1171,1164,39530
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,72,1156,1153,39480
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,72,1156,1153,39470
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,89,1148,1140,39480
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,20,1077,1067,39530
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,20,1077,1067,39528
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,70,1026,1024,39480
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,71,1009,1007,39480
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,47,1008,1004,39540
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,44,1004,1003,39550
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,43,1010,1001,39550
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,32,977,975,39460
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,34,976,973,39550
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,17,981,972,39422
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,45,964,962,39550
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,101,936,931,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,86,934,928,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,52,912,905,39460
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,52,912,905,39480
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,52,912,905,39470
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,69,902,899,39480
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,68,870,866,39580
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,103,855,850,39390
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,73,830,827,39480
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,66,823,820,39580
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,74,823,820,39480
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,74,823,820,39360
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,55,821,819,39580
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,55,821,819,39590
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,55,821,819,39560
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,15,822,818,39422
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,90,819,817,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,35,800,793,39550
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,16,794,792,39422
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,46,789,788,39550
